property1,section,price,latitude,longditude
Rufford Old Hall,Whole property,10,53.63775,-2.81365
Saltram,(Mar - Oct),12.8,50.3815,-4.08548
Saltram,(Nov - Feb),9.3,50.3815,-4.08548
Sandham Memorial Chapel,Whole property,10,51.344799,-1.33691
Scotney Castle,Whole property,14.85,51.092783,0.408198
Seaton Delaval Hall,Whole property,7.95,55.082846,-1.496508
Sheffield Park and Garden,Landscape garden,13.1,51,0.0094
Shugborough Estate,Whole site,14.3,52.798401,-2.00697
Sissinghurst Castle Garden,Whole property - 17 March - 31 Oct,14.5,51.113899,0.58511
Sissinghurst Castle Garden,Winter- 1 Jan - 16 March,9.9,51.113899,0.58511
Sissinghurst Castle Garden,Winter - 1 Nov - 31 Dec,10.4,51.113899,0.58511
Sizergh,Gardens Only,8.5,54.284168,-2.7716124
Sizergh,Whole property,13,54.284168,-2.7716124
Smallhythe Place,Whole Property,9.25,51.0383,0.70182
Snowshill Manor and Garden,Garden only,7.5,52.003101,-1.86037
Snowshill Manor and Garden,Whole property,12.8,52.003101,-1.86037
Souter Lighthouse and The Leas,Whole property,8,54.967999,-1.36124
"Speke Hall, Garden and Estate",Grounds only,9,53.336498,-2.87353
"Speke Hall, Garden and Estate",Whole property,13,53.336498,-2.87353
Springhill,Whole property,6.5,54.685699,-6.65569
Standen House and Garden,Whole property,13.2,51.103506,-0.01664
Stoneacre,Whole property,5.75,51.2533,0.58178
Stoneywell,Whole property,9.9,52.7034271,-1.2706485
Stourhead,Day Ticket,18.3,51.108601,-2.31469
Stowe,National Trust Stowe,13.2,52.022154,-1.00785
Sudbury Hall and the National Trust Museum of Childhood,Hall only,10.2,52.886299,-1.76674
Sudbury Hall and the National Trust Museum of Childhood,Museum only,10.2,52.886299,-1.76674
Sudbury Hall and the National Trust Museum of Childhood,Whole property,18.6,52.886299,-1.76674
Sunnycroft,Grounds and tea-room only,5,52.6955,-2.5167
Sunnycroft,Whole property,8.2,52.6955,-2.5167
Sutton Hoo,Whole property,9.8,52.088299,1.34032
Sutton House and Breaker's Yard,Whole property,7,51.548,-0.04921
Tattershall Castle,Whole property,8,53.101002,-0.19063
The Argory,Whole property,6.5,54.464401,-6.66035
The Courts Garden,Whole property,8.8,51.354401,-2.20101
The Firs,General Admission,8.8,52.1989833,-2.2834974
The Hardmans' House,Whole property,7.6,53.399843,-2.9737277
The Homewood,Whole property,14.5,51.356013,-0.381423
The Needles Old Battery and New Battery,Whole property,7.5,50.66209,-1.576905
The Vyne,Admission,13,51.313783,-1.08401
The Weir Garden,Whole property,7.45,52.072899,-2.82203
"The Workhouse, Southwell",Whole property,10.05,53.0811,-0.93707
Tintinhull Garden,Whole property,7.9,50.975237,-2.709428
Townend,Whole property,7.2,54.412498,-2.91477
"Treasurer's House, York",House,9,53.962764,-1.080973
Tredegar House,Whole property,10.4,51.561601,-3.028106
Trelissick,Whole property,12.8,50.217241,-5.0337821
Trengwainton Garden,Whole property,9.5,50.127899,-5.5695
Trerice,Whole property,11,50.384998,-5.03814
Trerice,Winter opening,5.5,50.384998,-5.03814
Tyntesfield,Garden and estate only,10.6,51.439899,-2.71199
Tyntesfield,"House, garden and estate",17.2,51.439899,-2.71199
Uppark House and Garden,Garden and Servants' Quarters only,9.9,50.952702,-0.88896
Uppark House and Garden,Whole Property,12.1,50.952702,-0.88896
Upton House and Gardens,Whole property,12.6,52.1068,-1.45769
Waddesdon Manor,Gardens only (21 Mar-28 Oct),12,51.840801,-0.92629
Waddesdon Manor,Whole property,22,51.840801,-0.92629
Waddesdon Manor,Winter weekends (6 Jan-18 Mar),10,51.840801,-0.92629
Wallington,Whole property,14.6,55.1507,-1.95144
Washington Old Hall,Whole property,7,54.901901,-1.5146
Wellbrook Beetling Mill,Whole property,5.5,54.6553,-6.83957
"West Wycombe Park, Village and Hill",Grounds only,5,51.641701,-0.80065
"West Wycombe Park, Village and Hill",Whole property,10,51.641701,-0.80065
Westbury Court Garden,Whole property,7.3,51.822172,-2.410684
White Mill,Whole property,3.5,50.804501,-2.05923
Wicken Fen Nature Reserve,Whole property,8.1,52.3101,0.29291
Wightwick Manor and Gardens,Gallery and Garden only,8.5,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,12.5,52.582765,-2.196453
Wimpole Estate,Home Farm & Gardens,12,52.138,-0.04878
Wimpole Estate,Wimpole Estate,18,52.138,-0.04878
Winchester City Mill,Whole property,4.4,51.062,-1.30771
Winkworth Arboretum,Whole property,9,51.1614,-0.58113
Woolsthorpe Manor,House closed,4.25,52.807598,-0.62633
Woolsthorpe Manor,House open,8.5,52.807598,-0.62633
Wordsworth House and Garden,Whole property,8.8,54.663601,-3.36678
Wray Castle,Whole property,10.8,54.400611,-2.964237
