property1,section,ticket,type,price,lat,lon
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Child,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Child,Standard,£3.75,51.840801,-0.92629
Murlough National Nature Reserve,Murlough National Nature Reserve Parking,Car,Gift aid,N/A,54.224645,-5.88365
Murlough National Nature Reserve,Murlough National Nature Reserve Parking,Car,Standard,£5.00,54.224645,-5.88365
Penrhyn Castle and Garden,Castle and Garden,Adult,Gift aid,£13.50,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Adult,Standard,£12.27,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Child,Gift aid,£6.75,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Child,Standard,£6.14,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Family,Gift aid,£33.90,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Family,Standard,£30.82,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group guided tour,Gift aid,N/A,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group guided tour,Standard,£8.80,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group Adult,Gift aid,N/A,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group Adult,Standard,£11.65,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group Child,Gift aid,N/A,53.225899,-4.09526
Penrhyn Castle and Garden,Castle and Garden,Group Child,Standard,£5.80,53.225899,-4.09526
Penrhyn Castle and Garden,Garden only,Adult,Gift aid,£9.00,53.225899,-4.09526
Penrhyn Castle and Garden,Garden only,Adult,Standard,£8.18,53.225899,-4.09526
Penrhyn Castle and Garden,Garden only,Child,Gift aid,£4.60,53.225899,-4.09526
Penrhyn Castle and Garden,Garden only,Child,Standard,£4.10,53.225899,-4.09526
Lanhydrock,Whole property,Adult,Gift aid,£15.95,50.4403,-4.69638
Lanhydrock,Whole property,Adult,Standard,£14.35,50.4403,-4.69638
Lanhydrock,Whole property,Child,Gift aid,£8.00,50.4403,-4.69638
Lanhydrock,Whole property,Child,Standard,£7.20,50.4403,-4.69638
Lanhydrock,Whole property,Family,Gift aid,£39.90,50.4403,-4.69638
Lanhydrock,Whole property,Family,Standard,£35.90,50.4403,-4.69638
Lanhydrock,Whole property,1 adult and up to 3 children,Gift aid,£23.95,50.4403,-4.69638
Lanhydrock,Whole property,1 adult and up to 3 children,Standard,£21.55,50.4403,-4.69638
Lanhydrock,Whole property,Group Adult,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Whole property,Group Adult,Standard,£13.55,50.4403,-4.69638
Lanhydrock,Whole property,Group Child,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Whole property,Group Child,Standard,£6.80,50.4403,-4.69638
Lanhydrock,Winter admission,Adult,Gift aid,£8.80,50.4403,-4.69638
Lanhydrock,Winter admission,Adult,Standard,£7.90,50.4403,-4.69638
Lanhydrock,Winter admission,Child,Gift aid,£4.40,50.4403,-4.69638
Lanhydrock,Winter admission,Child,Standard,£4.00,50.4403,-4.69638
Lanhydrock,Winter admission,Family,Gift aid,£22.00,50.4403,-4.69638
Lanhydrock,Winter admission,Family,Standard,£19.80,50.4403,-4.69638
Lanhydrock,Winter admission,1 adult and up to 3 children,Gift aid,£13.20,50.4403,-4.69638
Lanhydrock,Winter admission,1 adult and up to 3 children,Standard,£11.90,50.4403,-4.69638
Lanhydrock,Winter admission,Group Adult,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Winter admission,Group Adult,Standard,£7.50,50.4403,-4.69638
Lanhydrock,Winter admission,Group Child,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Winter admission,Group Child,Standard,£3.75,50.4403,-4.69638
Seaton Delaval Hall,Whole property,Adult,Gift aid,£7.95,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Adult,Standard,£7.20,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Child,Gift aid,£4.00,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Child,Standard,£3.60,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Family,Gift aid,£19.50,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Family,Standard,£17.50,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Group Adult,Gift aid,N/A,55.082846,-1.496508
Seaton Delaval Hall,Whole property,Group Adult,Standard,£6.10,55.082846,-1.496508
West Green House Garden,Admission,Adult,Gift aid,N/A,51.3027,-0.9343
West Green House Garden,Admission,Adult,Standard,£8.00,51.3027,-0.9343
West Green House Garden,Admission,Child,Gift aid,N/A,51.3027,-0.9343
West Green House Garden,Admission,Child,Standard,£4.00,51.3027,-0.9343
Lodge Park and Sherborne Estate,Lodge Park,Adult,Gift aid,£6.90,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Adult,Standard,£6.20,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Child,Gift aid,£3.50,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Child,Standard,£3.10,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Family,Gift aid,£17.30,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Family,Standard,£15.50,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Group Adult,Gift aid,N/A,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Group Adult,Standard,£5.60,51.8069,-1.79225
Woolbeding Gardens,Whole property,Adult,Gift aid,N/A,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Adult,Standard,£9.10,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Child,Gift aid,N/A,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Child,Standard,£4.55,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Family,Gift aid,N/A,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Family,Standard,£22.75,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Group Adult,Gift aid,N/A,50.9973848,-0.7579017
Woolbeding Gardens,Whole property,Group Adult,Standard,£7.70,50.9973848,-0.7579017
Erddig,Summer gardens and outbuildings,Adult,Gift aid,£8.90,53.027302,-3.00296
Erddig,Summer gardens and outbuildings,Adult,Standard,£8.00,53.027302,-3.00296
Erddig,Summer gardens and outbuildings,Child,Gift aid,£4.50,53.027302,-3.00296
Erddig,Summer gardens and outbuildings,Child,Standard,£4.00,53.027302,-3.00296
Erddig,Summer gardens and outbuildings,Family,Gift aid,£22.30,53.027302,-3.00296
Erddig,Summer gardens and outbuildings,Family,Standard,£20.00,53.027302,-3.00296
Erddig,Whole property summer,Adult,Gift aid,£14.00,53.027302,-3.00296
Erddig,Whole property summer,Adult,Standard,£12.60,53.027302,-3.00296
Erddig,Whole property summer,Child,Gift aid,£7.00,53.027302,-3.00296
Erddig,Whole property summer,Child,Standard,£6.30,53.027302,-3.00296
Erddig,Whole property summer,Family,Gift aid,£35.00,53.027302,-3.00296
Erddig,Whole property summer,Family,Standard,£31.50,53.027302,-3.00296
Erddig,Whole property summer,Group Adult,Gift aid,N/A,53.027302,-3.00296
Erddig,Whole property summer,Group Adult,Standard,£10.70,53.027302,-3.00296
Erddig,Whole property summer,Group Child,Gift aid,N/A,53.027302,-3.00296
Erddig,Whole property summer,Group Child,Standard,£5.35,53.027302,-3.00296
Erddig,Winter whole property,Adult,Gift aid,£6.80,53.027302,-3.00296
Erddig,Winter whole property,Adult,Standard,£6.10,53.027302,-3.00296
Erddig,Winter whole property,Child,Gift aid,£3.40,53.027302,-3.00296
Erddig,Winter whole property,Child,Standard,£3.05,53.027302,-3.00296
Erddig,Winter whole property,Family,Gift aid,£17.00,53.027302,-3.00296
Erddig,Winter whole property,Family,Standard,£15.25,53.027302,-3.00296
Erddig,Winter whole property,Group Adult,Gift aid,N/A,53.027302,-3.00296
Erddig,Winter whole property,Group Adult,Standard,£5.25,53.027302,-3.00296
Erddig,Winter whole property,Group Child,Gift aid,N/A,53.027302,-3.00296
Erddig,Winter whole property,Group Child,Standard,£2.62,53.027302,-3.00296
Wray Castle,Whole property,Adult,Gift aid,£10.80,54.400611,-2.964237
Wray Castle,Whole property,Adult,Standard,£9.60,54.400611,-2.964237
Wray Castle,Whole property,Child,Gift aid,£5.40,54.400611,-2.964237
Wray Castle,Whole property,Child,Standard,£4.80,54.400611,-2.964237
Wray Castle,Whole property,Family,Gift aid,£27.00,54.400611,-2.964237
Wray Castle,Whole property,Family,Standard,£24.00,54.400611,-2.964237
Wray Castle,Whole property,Group Adult,Gift aid,N/A,54.400611,-2.964237
Wray Castle,Whole property,Group Adult,Standard,£9.00,54.400611,-2.964237
Wray Castle,Whole property,Group Child,Gift aid,N/A,54.400611,-2.964237
Wray Castle,Whole property,Group Child,Standard,£4.50,54.400611,-2.964237
Westbury Court Garden,Whole property,Adult,Gift aid,£7.30,51.822172,-2.410684
Westbury Court Garden,Whole property,Adult,Standard,£6.60,51.822172,-2.410684
Westbury Court Garden,Whole property,Child,Gift aid,£3.65,51.822172,-2.410684
Westbury Court Garden,Whole property,Child,Standard,£3.30,51.822172,-2.410684
Westbury Court Garden,Whole property,Family,Gift aid,£18.25,51.822172,-2.410684
Westbury Court Garden,Whole property,Family,Standard,£16.50,51.822172,-2.410684
Westbury Court Garden,Whole property,Group Adult,Gift aid,N/A,51.822172,-2.410684
Westbury Court Garden,Whole property,Group Adult,Standard,£6.20,51.822172,-2.410684
Westbury Court Garden,Whole property,Group Child,Gift aid,N/A,51.822172,-2.410684
Westbury Court Garden,Whole property,Group Child,Standard,£3.10,51.822172,-2.410684
Hardwick,Garden only,Adult,Gift aid,£7.70,53.167801,-1.30813
Hardwick,Garden only,Adult,Standard,£7.00,53.167801,-1.30813
Hardwick,Garden only,Child,Gift aid,£3.90,53.167801,-1.30813
Hardwick,Garden only,Child,Standard,£3.54,53.167801,-1.30813
Hardwick,Garden only,Family,Gift aid,£19.30,53.167801,-1.30813
Hardwick,Garden only,Family,Standard,£17.50,53.167801,-1.30813
Hardwick,House and Garden,Adult,Gift aid,£15.40,53.167801,-1.30813
Hardwick,House and Garden,Adult,Standard,£13.95,53.167801,-1.30813
Hardwick,House and Garden,Child,Gift aid,£7.70,53.167801,-1.30813
Hardwick,House and Garden,Child,Standard,£7.00,53.167801,-1.30813
Hardwick,House and Garden,Family,Gift aid,£38.50,53.167801,-1.30813
Hardwick,House and Garden,Family,Standard,£34.90,53.167801,-1.30813
Hardwick,House and Garden,Group Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,House and Garden,Group Adult,Standard,£13.25,53.167801,-1.30813
Hardwick,House and Garden Christmas,Adult,Gift aid,£13.00,53.167801,-1.30813
Hardwick,House and Garden Christmas,Adult,Standard,£11.80,53.167801,-1.30813
Hardwick,House and Garden Christmas,Child,Gift aid,£6.50,53.167801,-1.30813
Hardwick,House and Garden Christmas,Child,Standard,£5.90,53.167801,-1.30813
Hardwick,House and Garden Christmas,Family,Gift aid,£32.50,53.167801,-1.30813
Hardwick,House and Garden Christmas,Family,Standard,£29.50,53.167801,-1.30813
Hardwick,House and Garden Christmas,Group Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,House and Garden Christmas,Group Adult,Standard,£11.20,53.167801,-1.30813
Hardwick,Old and New Hall ,Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,Old and New Hall ,Adult,Standard,£20.75,53.167801,-1.30813
Hardwick,Old and New Hall ,Child,Gift aid,N/A,53.167801,-1.30813
Hardwick,Old and New Hall ,Child,Standard,£11.10,53.167801,-1.30813
Hardwick,Old and New Hall ,Family,Gift aid,N/A,53.167801,-1.30813
Hardwick,Old and New Hall ,Family,Standard,£52.60,53.167801,-1.30813
Smallhythe Place,Whole Property,Adult,Gift aid,£9.25,51.0383,0.70182
Smallhythe Place,Whole Property,Adult,Standard,£8.40,51.0383,0.70182
Smallhythe Place,Whole Property,Child,Gift aid,£4.65,51.0383,0.70182
Smallhythe Place,Whole Property,Child,Standard,£4.20,51.0383,0.70182
Smallhythe Place,Whole Property,Family,Gift aid,£23.15,51.0383,0.70182
Smallhythe Place,Whole Property,Family,Standard,£21.00,51.0383,0.70182
Smallhythe Place,Whole Property,Group Adult,Gift aid,N/A,51.0383,0.70182
Smallhythe Place,Whole Property,Group Adult,Standard,£7.55,51.0383,0.70182
Smallhythe Place,Whole Property,Group Child,Gift aid,N/A,51.0383,0.70182
Smallhythe Place,Whole Property,Group Child,Standard,£3.75,51.0383,0.70182
Smallhythe Place,Whole Property,Adult,Gift aid,£9.25,51.0383,0.70182
Smallhythe Place,Whole Property,Adult,Standard,£8.40,51.0383,0.70182
Smallhythe Place,Whole Property,Child,Gift aid,£4.65,51.0383,0.70182
Smallhythe Place,Whole Property,Child,Standard,£4.20,51.0383,0.70182
Smallhythe Place,Whole Property,Family,Gift aid,£23.15,51.0383,0.70182
Smallhythe Place,Whole Property,Family,Standard,£21.00,51.0383,0.70182
Smallhythe Place,Whole Property,Group Adult,Gift aid,N/A,51.0383,0.70182
Smallhythe Place,Whole Property,Group Adult,Standard,£7.55,51.0383,0.70182
Smallhythe Place,Whole Property,Group Child,Gift aid,N/A,51.0383,0.70182
Smallhythe Place,Whole Property,Group Child,Standard,£3.75,51.0383,0.70182
The Firs,General Admission,Adult,Gift aid,£8.80,52.1989833,-2.2834974
The Firs,General Admission,Adult,Standard,£8.00,52.1989833,-2.2834974
The Firs,General Admission,Child,Gift aid,£5.65,52.1989833,-2.2834974
The Firs,General Admission,Child,Standard,£5.10,52.1989833,-2.2834974
The Firs,General Admission,Family,Gift aid,£23.35,52.1989833,-2.2834974
The Firs,General Admission,Family,Standard,£21.20,52.1989833,-2.2834974
The Firs,General Admission,Group Adult,Gift aid,N/A,52.1989833,-2.2834974
The Firs,General Admission,Group Adult,Standard,£7.60,52.1989833,-2.2834974
Dudmaston,Whole property,Adult,Gift aid,£10.90,52.495701,-2.36803
Dudmaston,Whole property,Adult,Standard,£9.90,52.495701,-2.36803
Dudmaston,Whole property,Child,Gift aid,£5.45,52.495701,-2.36803
Dudmaston,Whole property,Child,Standard,£4.95,52.495701,-2.36803
Dudmaston,Whole property,Family,Gift aid,£27.30,52.495701,-2.36803
Dudmaston,Whole property,Family,Standard,£24.80,52.495701,-2.36803
Dudmaston,Whole property,Group Adult,Gift aid,N/A,52.495701,-2.36803
Dudmaston,Whole property,Group Adult,Standard,£9.25,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Adult,Gift aid,£9.05,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Adult,Standard,£8.20,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Child,Gift aid,£4.55,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Child,Standard,£4.10,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Family,Gift aid,£22.60,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Family,Standard,£20.50,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Group Adult,Gift aid,N/A,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Group Adult,Standard,£7.65,52.495701,-2.36803
Dudmaston,Gardens and park only,Adult,Gift aid,£8.20,52.495701,-2.36803
Dudmaston,Gardens and park only,Adult,Standard,£7.45,52.495701,-2.36803
Dudmaston,Gardens and park only,Child,Gift aid,£4.10,52.495701,-2.36803
Dudmaston,Gardens and park only,Child,Standard,£3.70,52.495701,-2.36803
Dudmaston,Gardens and park only,Family,Gift aid,£20.50,52.495701,-2.36803
Dudmaston,Gardens and park only,Family,Standard,£18.60,52.495701,-2.36803
Dudmaston,Gardens and park only,Group Adult,Gift aid,N/A,52.495701,-2.36803
Dudmaston,Gardens and park only,Group Adult,Standard,£6.95,52.495701,-2.36803
Dudmaston,Winter: park only,Adult,Gift aid,£3.45,52.495701,-2.36803
Dudmaston,Winter: park only,Adult,Standard,£3.10,52.495701,-2.36803
Dudmaston,Winter: park only,Child,Gift aid,£1.70,52.495701,-2.36803
Dudmaston,Winter: park only,Child,Standard,£1.50,52.495701,-2.36803
Dudmaston,Winter: park only,Family,Gift aid,£8.50,52.495701,-2.36803
Dudmaston,Winter: park only,Family,Standard,£7.70,52.495701,-2.36803
Grantham House,Adult,Adult,Gift aid,N/A,52.914799,-0.63818
Grantham House,Adult,Adult,Standard,£8.50,52.914799,-0.63818
Grantham House,Adult,Child,Gift aid,N/A,52.914799,-0.63818
Grantham House,Adult,Child,Standard,£4.25,52.914799,-0.63818
Grantham House,Adult,Family,Gift aid,N/A,52.914799,-0.63818
Grantham House,Adult,Family,Standard,£21.25,52.914799,-0.63818
Clouds Hill,Whole property,Adult,Gift aid,£7.70,50.717878,-2.251675
Clouds Hill,Whole property,Adult,Standard,£7.00,50.717878,-2.251675
Clouds Hill,Whole property,Child,Gift aid,£3.90,50.717878,-2.251675
Clouds Hill,Whole property,Child,Standard,£3.50,50.717878,-2.251675
Clouds Hill,Whole property,Family,Gift aid,£19.30,50.717878,-2.251675
Clouds Hill,Whole property,Family,Standard,£17.50,50.717878,-2.251675
Stoneacre,Whole property,Adult,Gift aid,£5.75,51.2533,0.58178
Stoneacre,Whole property,Adult,Standard,£5.20,51.2533,0.58178
Stoneacre,Whole property,Child,Gift aid,£2.90,51.2533,0.58178
Stoneacre,Whole property,Child,Standard,£2.60,51.2533,0.58178
Stoneacre,Whole property,Family,Gift aid,£14.40,51.2533,0.58178
Stoneacre,Whole property,Family,Standard,£13.00,51.2533,0.58178
Stoneacre,Whole property,Group Adult,Gift aid,N/A,51.2533,0.58178
Stoneacre,Whole property,Group Adult,Standard,£4.65,51.2533,0.58178
Little Moreton Hall,Whole property,Adult,Gift aid,£12.00,53.126499,-2.24874
Little Moreton Hall,Whole property,Adult,Standard,£10.20,53.126499,-2.24874
Little Moreton Hall,Whole property,Child,Gift aid,£6.00,53.126499,-2.24874
Little Moreton Hall,Whole property,Child,Standard,£5.10,53.126499,-2.24874
Little Moreton Hall,Whole property,Family,Gift aid,£30.00,53.126499,-2.24874
Little Moreton Hall,Whole property,Family,Standard,£25.50,53.126499,-2.24874
Little Moreton Hall,Whole property,Group Adult,Gift aid,N/A,53.126499,-2.24874
Little Moreton Hall,Whole property,Group Adult,Standard,£10.00,53.126499,-2.24874
Lavenham Guildhall,Whole property,Adult,Gift aid,£7.50,52.10876,0.79662
Lavenham Guildhall,Whole property,Adult,Standard,£6.80,52.10876,0.79662
Lavenham Guildhall,Whole property,Child,Gift aid,£3.75,52.10876,0.79662
Lavenham Guildhall,Whole property,Child,Standard,£3.40,52.10876,0.79662
Lavenham Guildhall,Whole property,Family,Gift aid,£18.75,52.10876,0.79662
Lavenham Guildhall,Whole property,Family,Standard,£17.00,52.10876,0.79662
Lavenham Guildhall,Whole property,Group Adult,Gift aid,N/A,52.10876,0.79662
Lavenham Guildhall,Whole property,Group Adult,Standard,£6.35,52.10876,0.79662
Lavenham Guildhall,Whole property,Group Child,Gift aid,N/A,52.10876,0.79662
Lavenham Guildhall,Whole property,Group Child,Standard,£3.15,52.10876,0.79662
Florence Court,Whole Property (Inc Guided House Tour),Adult,Gift aid,£11.00,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Adult,Standard,£9.90,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Child,Gift aid,£5.50,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Child,Standard,£4.95,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Family,Gift aid,£27.50,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Family,Standard,£24.75,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Group Adult,Gift aid,N/A,54.258301,-7.72989
Florence Court,Whole Property (Inc Guided House Tour),Group Adult,Standard,£6.00,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Adult,Gift aid,£6.50,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Adult,Standard,£5.85,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Child,Gift aid,£3.25,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Child,Standard,£2.93,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Family,Gift aid,£16.25,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Family,Standard,£14.63,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Group Adult,Gift aid,N/A,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Group Adult,Standard,£4.50,54.258301,-7.72989
Castle Ward,Grounds and House,Adult,Gift aid,£9.50,54.368301,-5.58034
Castle Ward,Grounds and House,Adult,Standard,£8.60,54.368301,-5.58034
Castle Ward,Grounds and House,Child,Gift aid,£4.75,54.368301,-5.58034
Castle Ward,Grounds and House,Child,Standard,£4.30,54.368301,-5.58034
Castle Ward,Grounds and House,Family,Gift aid,£23.75,54.368301,-5.58034
Castle Ward,Grounds and House,Family,Standard,£21.55,54.368301,-5.58034
Castle Ward,Grounds and House,Group Adult,Gift aid,N/A,54.368301,-5.58034
Castle Ward,Grounds and House,Group Adult,Standard,£6.50,54.368301,-5.58034
Waddesdon Manor,Whole property,Adult,Gift aid,£22.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Adult,Standard,£19.80,51.840801,-0.92629
Waddesdon Manor,Whole property,Child,Gift aid,£11.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Child,Standard,£9.90,51.840801,-0.92629
Waddesdon Manor,Whole property,Family,Gift aid,£55.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Family,Standard,£49.50,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Adult,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Adult,Standard,£15.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Child,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Child,Standard,£7.50,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Adult,Gift aid,£12.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Adult,Standard,£10.80,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Child,Gift aid,£6.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Child,Standard,£5.40,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Family,Gift aid,£30.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Family,Standard,£27.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Adult,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Adult,Standard,£7.50,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Child,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Child,Standard,£3.75,51.840801,-0.92629
Dunwich Heath and Beach,Car Parking,Cars,Gift aid,N/A,52.25889,1.626715
Dunwich Heath and Beach,Car Parking,Cars,Standard,£5.50,52.25889,1.626715
Dunwich Heath and Beach,"Large vans, campervans & caravans","Large vans, campervans & caravans",Gift aid,N/A,52.25889,1.626715
Dunwich Heath and Beach,"Large vans, campervans & caravans","Large vans, campervans & caravans",Standard,£15.00,52.25889,1.626715
Clumber Park,Admission,Adult,Gift aid,£4.40,53.2691,-1.06568
Clumber Park,Admission,Adult,Standard,£4.00,53.2691,-1.06568
Clumber Park,Admission,Child,Gift aid,£2.20,53.2691,-1.06568
Clumber Park,Admission,Child,Standard,£2.00,53.2691,-1.06568
Clumber Park,Admission,Family,Gift aid,£11.00,53.2691,-1.06568
Clumber Park,Admission,Family,Standard,£10.00,53.2691,-1.06568
Clumber Park,Admission,1 adult and up to 3 children,Gift aid,£6.60,53.2691,-1.06568
