property1,section,ticket,type,price,lat,lon
Calke Abbey,Park only,Group Adult,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,Park only,Group Child,Gift aid,N/A,52.808253,-1.472834
Canons Ashby,Whole property,Group Adult,Gift aid,N/A,52.149502,-1.16034
Canons Ashby,Whole property,Group Child,Gift aid,N/A,52.149502,-1.16034
Canons Ashby,Gardens only,Group Adult,Gift aid,N/A,52.149502,-1.16034
Canons Ashby,Gardens only,Group Child,Gift aid,N/A,52.149502,-1.16034
Carding Mill Valley and the Long Mynd,Coach parking charge,,Gift aid,N/A,#N/A,#N/A
Carding Mill Valley and the Long Mynd,minibus parking charge,,Gift aid,N/A,#N/A,#N/A
Carding Mill Valley and the Long Mynd,summer car park charge,,Gift aid,N/A,#N/A,#N/A
Carding Mill Valley and the Long Mynd,winter car park charge,,Gift aid,N/A,#N/A,#N/A
Carlyle's House,House and garden,Adult,Gift aid,N/A,51.484326,-0.170021
Carlyle's House,House and garden,Child,Gift aid,N/A,51.484326,-0.170021
Carlyle's House,House and garden,Family,Gift aid,N/A,51.484326,-0.170021
Carrick-a-Rede,Whole property,Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Child,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Family,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Child,Gift aid,N/A,55.236698,-6.3328
Castle Coole,Whole Property (Inc Guided House Tour),Group Adult,Gift aid,N/A,54.335499,-7.60046
Castle Drogo,Whole property,Group Adult,Gift aid,N/A,50.698898,-3.80881
Castle Drogo,Whole property,Group Child,Gift aid,N/A,50.698898,-3.80881
Castle Ward,Grounds and House,Group Adult,Gift aid,N/A,54.368301,-5.58034
Charlecote Park,Grounds & Outbuildings (Winter House Admission),Group Adult,Gift aid,N/A,52.205101,-1.62103
Charlecote Park,Grounds & Outbuildings (Winter House Admission),Group Child,Gift aid,N/A,52.205101,-1.62103
Charlecote Park,"House, Parkland & Outbuildings",Group Adult,Gift aid,N/A,52.205101,-1.62103
Charlecote Park,"House, Parkland & Outbuildings",Group Child,Gift aid,N/A,52.205101,-1.62103
Chartwell,Whole property,Group Adult,Gift aid,N/A,51.2459,0.083513
Chartwell,Whole property,Group Child,Gift aid,N/A,51.2459,0.083513
Chartwell,Garden and studio only,Group Adult,Gift aid,N/A,51.2459,0.083513
Chartwell,Garden and studio only,Group Child,Gift aid,N/A,51.2459,0.083513
Chastleton House and Garden,House and garden,Group Adult,Gift aid,N/A,51.960098,-1.63895
Chedworth Roman Villa,Whole property,Group Adult,Gift aid,N/A,51.819401,-1.92295
Chedworth Roman Villa,Whole property,Group Child,Gift aid,N/A,51.819401,-1.92295
Cherryburn,Whole property,Group Adult,Gift aid,N/A,54.957001,-1.88361
Cherryburn,Whole property,Group Child,Gift aid,N/A,54.957001,-1.88361
Chirk Castle,Whole property,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property,Group Child,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Child,Gift aid,N/A,52.935902,-3.08353
Cilgerran Castle,Whole property,Adult,Gift aid,N/A,52.0574,-4.63413
Cilgerran Castle,Whole property,Child,Gift aid,N/A,52.0574,-4.63413
Cilgerran Castle,Whole property,Family,Gift aid,N/A,52.0574,-4.63413
Claremont Landscape Garden,Whole property,Group Adult,Gift aid,N/A,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Child,Gift aid,N/A,51.355785,-0.381433
Claydon,Gardens (NT members),Adult,Gift aid,N/A,51.924599,-0.95617
Claydon,Gardens (non-members),Adult,Gift aid,N/A,51.924599,-0.95617
Claydon,Whole property,Adult,Gift aid,N/A,51.924599,-0.95617
Claydon,Gardens (NT members),Child,Gift aid,N/A,51.924599,-0.95617
Claydon,Gardens (NT members),Family,Gift aid,N/A,51.924599,-0.95617
Claydon,Gardens (non-members),Child,Gift aid,N/A,51.924599,-0.95617
Claydon,Gardens (non-members),Family,Gift aid,N/A,51.924599,-0.95617
Claydon,Whole property,Child,Gift aid,N/A,51.924599,-0.95617
Claydon,Whole property,Family,Gift aid,N/A,51.924599,-0.95617
Clevedon Court,Whole property,Group Adult,Gift aid,N/A,51.439657,-2.831597
Clevedon Court,Whole property,Group Child,Gift aid,N/A,51.439657,-2.831597
Clevedon Court,Garden only,Group Adult,Gift aid,N/A,51.439657,-2.831597
Clevedon Court,Garden only,Group Child,Gift aid,N/A,51.439657,-2.831597
Cliveden,House (Apr-Oct) Additional charge,Adult,Gift aid,N/A,51.556596,-0.681394
Cliveden,Gardens and woodlands,Group Adult,Gift aid,N/A,51.556596,-0.681394
Cliveden,Gardens and woodlands,Group Child,Gift aid,N/A,51.556596,-0.681394
Cliveden,House (Apr-Oct) Additional charge,Child,Gift aid,N/A,51.556596,-0.681394
Clumber Park,Admission,Group Adult,Gift aid,N/A,53.2691,-1.06568
Clumber Park,Admission,Group Child,Gift aid,N/A,53.2691,-1.06568
Clyston Mill,Whole property,Adult,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Child,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Family,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Family with 1 adult,Gift aid,N/A,50.7657297,-3.4475338
Coleridge Cottage,Whole property,Group Adult,Gift aid,N/A,51.151657,-3.157475
Coleridge Cottage,Whole property,Group Child,Gift aid,N/A,51.151657,-3.157475
Coleton Fishacre,Whole property,Group Adult,Gift aid,N/A,50.345299,-3.53439
Coleton Fishacre,Whole property,Group Child,Gift aid,N/A,50.345299,-3.53439
Compton Castle,Whole property,Group Adult,Gift aid,N/A,50.472198,-3.59649
Compton Castle,Whole property,Group Child,Gift aid,N/A,50.472198,-3.59649
Conwy Suspension Bridge,Toll House,Adult,Gift aid,N/A,53.281128,-3.828009
Conwy Suspension Bridge,Toll House,Child,Gift aid,N/A,53.281128,-3.828009
Conwy Suspension Bridge,Toll House,Family,Gift aid,N/A,53.281128,-3.828009
Corfe Castle,Off peak,Group Adult,Gift aid,N/A,50.637901,-2.05654
Corfe Castle,Off peak,Group Child,Gift aid,N/A,50.637901,-2.05654
Corfe Castle,Peak,Group Adult,Gift aid,N/A,50.637901,-2.05654
Corfe Castle,Peak,Group Child,Gift aid,N/A,50.637901,-2.05654
Cotehele,"House, garden and mill",Group Adult,Gift aid,N/A,50.494301,-4.22487
Cotehele,"House, garden and mill",Group Child,Gift aid,N/A,50.494301,-4.22487
Cotehele,Car park,Car,Gift aid,N/A,50.494301,-4.22487
Cotehele Mill,Adult,Group Adult,Gift aid,N/A,50.492164,-4.233089
Cotehele Mill,Adult,Group Child,Gift aid,N/A,50.492164,-4.233089
Cotehele Mill,Car park (at Cotehele Quay),Car,Gift aid,N/A,50.492164,-4.233089
Coughton Court,General Admission,Group Adult,Gift aid,N/A,52.242802,-1.87794
Cragside,Winter 1 January - 8 February,Group Adult,Gift aid,N/A,55.312599,-1.8817
Cragside,Gardens and woodland only 9 February - 4 November,Group Adult,Gift aid,N/A,55.312599,-1.8817
Cragside,Gardens and woodland only 9 February - 4 November,Group Child,Gift aid,N/A,55.312599,-1.8817
Cragside,Whole property 9 February - 4 November,Group Adult,Gift aid,N/A,55.312599,-1.8817
Cragside,Whole property 9 February - 4 November,Group Child,Gift aid,N/A,55.312599,-1.8817
Cragside,Winter 5 November - 31 December,Group Adult,Gift aid,N/A,55.312599,-1.8817
Croft Castle and Parkland,Whole property,Group Adult,Gift aid,N/A,52.284199,-2.79835
Croft Castle and Parkland,Whole property,Group Child,Gift aid,N/A,52.284199,-2.79835
Croft Castle and Parkland,Garden and grounds only,Group Adult,Gift aid,N/A,52.284199,-2.79835
Croft Castle and Parkland,Garden and grounds only,Group Child,Gift aid,N/A,52.284199,-2.79835
Crom,Grounds and Visitor Centre,Group Adult,Gift aid,N/A,54.162601,-7.44284
Croome,Whole property,Group Adult,Gift aid,N/A,52.105154,-2.1662722
Croome,Whole property,Group Child,Gift aid,N/A,52.105154,-2.1662722
Croome,Park only,Group Adult,Gift aid,N/A,52.105154,-2.1662722
Croome,Park only,Group Child,Gift aid,N/A,52.105154,-2.1662722
Dinefwr,Whole property,Group Adult,Gift aid,N/A,51.882099,-4.01424
Dolaucothi Gold Mines,Whole property,Group Adult,Gift aid,N/A,52.0443,-3.94824
Downhill Demesne and Hezlett House,Whole property,Guided tour,Gift aid,N/A,55.1609,-6.80705
Downhill Demesne and Hezlett House,Whole property,Group Adult,Gift aid,N/A,55.1609,-6.80705
Downhill Demesne and Hezlett House,Whole property,Group Child,Gift aid,N/A,55.1609,-6.80705
Dudmaston,Whole property,Group Adult,Gift aid,N/A,52.495701,-2.36803
Dudmaston,"Galleries, garden & park ",Group Adult,Gift aid,N/A,52.495701,-2.36803
Dudmaston,Gardens and park only,Group Adult,Gift aid,N/A,52.495701,-2.36803
Dunham Massey,House & Garden,Group Adult,Gift aid,N/A,53.3832,-2.4045
Dunham Massey,House & Garden,Group Child,Gift aid,N/A,53.3832,-2.4045
Dunham Massey,Garden,Group Adult,Gift aid,N/A,53.3832,-2.4045
Dunham Massey,Garden,Group Child,Gift aid,N/A,53.3832,-2.4045
Dunster Castle,Whole site,Group Adult,Gift aid,N/A,51.181099,-3.44279
Dyffryn Gardens,Whole property,Group Adult,Gift aid,N/A,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Child,Gift aid,N/A,51.437563,-3.304228
Dyrham Park,Whole property,Group Adult,Gift aid,N/A,51.4805,-2.3629
East Pool Mine,Whole property,Group Adult,Gift aid,N/A,50.231016,-5.262162
East Pool Mine,Whole property,Group Child,Gift aid,N/A,50.231016,-5.262162
East Riddlesden Hall,Whole property,Group Adult,Gift aid,N/A,53.873199,-1.87589
Eastbury Manor House,Whole property,Adult,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,LBBD residents,Adult,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,Whole property,Child,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,Whole property,Family,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,LBBD residents,Child,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,LBBD residents,Family,Gift aid,N/A,51.534199,0.10061
Eastbury Manor House,LBBD residents,Group Adult,Gift aid,N/A,51.534199,0.10061
Emmetts Garden,Whole property ,Group Adult,Gift aid,N/A,51.250599,0.11573
Emmetts Garden,Whole property ,Group Child,Gift aid,N/A,51.250599,0.11573
Erddig,Whole property summer,Group Adult,Gift aid,N/A,53.027302,-3.00296
Erddig,Whole property summer,Group Child,Gift aid,N/A,53.027302,-3.00296
Erddig,Winter whole property,Group Adult,Gift aid,N/A,53.027302,-3.00296
Erddig,Winter whole property,Group Child,Gift aid,N/A,53.027302,-3.00296
Farnborough Hall,House and terraced walk,Adult,Gift aid,N/A,52.136902,-1.36541
Farnborough Hall,Terraced Walk,Adult,Gift aid,N/A,52.136902,-1.36541
Farnborough Hall,House and terraced walk,Child,Gift aid,N/A,52.136902,-1.36541
Farnborough Hall,House and terraced walk,Family,Gift aid,N/A,52.136902,-1.36541
Farnborough Hall,Terraced Walk,Child,Gift aid,N/A,52.136902,-1.36541
Farnborough Hall,Terraced Walk,Family,Gift aid,N/A,52.136902,-1.36541
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,Staple May-July,Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,Staple May-July,Group Child,Gift aid,N/A,55.616001,-1.6538
"Felbrigg Hall, Gardens and Estate",Whole property,Group Adult,Gift aid,N/A,52.907469,1.25942499
"Felbrigg Hall, Gardens and Estate",Whole property,Group Child,Gift aid,N/A,52.907469,1.25942499
"Felbrigg Hall, Gardens and Estate",Garden only,Group Adult,Gift aid,N/A,52.907469,1.25942499
"Felbrigg Hall, Gardens and Estate",Garden only,Group Child,Gift aid,N/A,52.907469,1.25942499
Fenton House and Garden,Whole property,Group Adult,Gift aid,N/A,51.558773,-0.180926
Finch Foundry,Foundry,Group Adult,Gift aid,N/A,50.730202,-3.92589
Finch Foundry,Foundry,Group Child,Gift aid,N/A,50.730202,-3.92589
Florence Court,Whole Property (Inc Guided House Tour),Group Adult,Gift aid,N/A,54.258301,-7.72989
Florence Court,Gardens & Forest Park Only,Group Adult,Gift aid,N/A,54.258301,-7.72989
Formby,Victoria Road car park - Car parking,,Gift aid,N/A,#N/A,#N/A
Formby,Victoria Road car park - Minibus parking,,Gift aid,N/A,#N/A,#N/A
Formby,Victoria Road car park - Coach parking,,Gift aid,N/A,#N/A,#N/A
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Adult,Gift aid,N/A,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Child,Gift aid,N/A,54.1096,-1.58033
Gawthorpe Hall,Adult,Adult,Gift aid,N/A,53.803799,-2.29093
Gawthorpe Hall,Concession,Adult,Gift aid,N/A,53.803799,-2.29093
Giant's Causeway,Whole property,Adult,Gift aid,N/A,55.240807,-6.511572
Giant's Causeway,Clifftop Experience,Adult,Gift aid,N/A,55.240807,-6.511572
Giant's Causeway,Whole property,Child,Gift aid,N/A,55.240807,-6.511572
Giant's Causeway,Whole property,Family,Gift aid,N/A,55.240807,-6.511572
Giant's Causeway,Whole property,Group Adult,Gift aid,N/A,55.240807,-6.511572
Giant's Causeway,Whole property,Group Child,Gift aid,N/A,55.240807,-6.511572
Gibside,Estate,Group Adult,Gift aid,N/A,54.920502,-1.73174
Gibside,Estate,Group Child,Gift aid,N/A,54.920502,-1.73174
Glendurgan Garden,Whole property,Group Adult,Gift aid,N/A,50.10914,-5.116531
Glendurgan Garden,Whole property,Group Child,Gift aid,N/A,50.10914,-5.116531
Godolphin,Whole property,Group Adult,Gift aid,N/A,50.1367,-5.36116
Godolphin,Whole property,Group Child,Gift aid,N/A,50.1367,-5.36116
Godolphin,Garden and outbuildings only,Group Adult,Gift aid,N/A,50.1367,-5.36116
Godolphin,Garden and outbuildings only,Group Child,Gift aid,N/A,50.1367,-5.36116
Grange Barn,Joint Entry to Coggeshall Properties,Adult,Gift aid,N/A,51.869099,0.68332
Grange Barn,Joint Entry to Coggeshall Properties,Child,Gift aid,N/A,51.869099,0.68332
Grantham House,Adult,Adult,Gift aid,N/A,52.914799,-0.63818
Grantham House,Adult,Child,Gift aid,N/A,52.914799,-0.63818
Grantham House,Adult,Family,Gift aid,N/A,52.914799,-0.63818
Great Chalfield Manor and Garden,Garden only,Adult,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Manor tour and garden,Adult,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Garden only,Child,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Garden only,Family,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Garden only,Group Adult,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Garden only,Group Child,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Manor tour and garden,Child,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Manor tour and garden,Family,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Manor tour and garden,Group Adult,Gift aid,N/A,51.368198,-2.19942
Great Chalfield Manor and Garden,Manor tour and garden,Group Child,Gift aid,N/A,51.368198,-2.19942
Greenway,Whole property,Group Adult,Gift aid,N/A,50.382401,-3.5872
Greenway,Whole property,Group Child,Gift aid,N/A,50.382401,-3.5872
Greyfriars' House and Garden,Whole property,Group Adult,Gift aid,N/A,52.190455,-2.21898
Greyfriars' House and Garden,Whole property,Group Child,Gift aid,N/A,52.190455,-2.21898
Greys Court,Whole property,Group Adult,Gift aid,N/A,51.5452,-0.95151
"Gunby Estate, Hall and Gardens",Whole property,Group Adult,Gift aid,N/A,53.178001,0.19669
"Gunby Estate, Hall and Gardens",Whole property,Group Child,Gift aid,N/A,53.178001,0.19669
Ham House and Garden,Whole property,Group Adult,Gift aid,N/A,51.443199,-0.31505
Hanbury Hall and Gardens,Garden & Park ,Group Adult,Gift aid,N/A,52.275398,-2.08633
Hanbury Hall and Gardens,"House, Garden & Park",Group Adult,Gift aid,N/A,52.275398,-2.08633
Hardwick,Old and New Hall ,Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,House and Garden,Group Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,House and Garden Christmas,Group Adult,Gift aid,N/A,53.167801,-1.30813
Hardwick,Old and New Hall ,Child,Gift aid,N/A,53.167801,-1.30813
